Codigo_Depto;Tag;Departamento;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
68;Sat;Santander;96,4239564;128,1828959;167,8551817;197,9981371;247,6424658;316,9315042;439,9072845;591,6690419;734,4301605;961,9993072;1262,374193;1560,613315;2046,599537;2654,903613;3461,579223;4316,517821;5637,459923;6715,286984;7588,47415;8627,61258;9746,564247;10985,54265;12000,38119;13779,71646;15876,26453;18732,73821;21572,0522;24619,73909;28389,1106;28494,32379;32726,18072;37783,839;40282,52648;43409,31544;50858,40912;51999,22965;55182,20198;59462,53218;63776,07829;69123,52537;61639,02871;75256,58454;93466,90964
70;Suc;Sucre;15,32053613;19,16884118;25,27191319;31,35027572;36,53380502;48,53216675;65,58750557;81,02173033;108,5128894;140,3454149;175,6936529;208,3732924;298,2405518;402,066925;540,5591509;678,3092432;835,5836715;999,8901986;1171,440829;1250,413344;1391,15937;1550,144989;1673,278649;1827,765387;2139,756122;2386,34379;2758,289377;3161,081237;3485,848401;3878,942264;4011,223116;4472,58945;4994,46929;5480,308141;6088,779642;6577,32128;7186,337621;7702,087304;8122,917706;8696,66272;8457,481892;9794,195547;11474,58605
73;Tol;Tolima;56,00654003;71,29222484;82,26239423;100,2542765;126,5368664;163,2250561;229,5175343;293,6818089;392,1741102;505,4544826;658,3047772;882,1860485;1141,305834;1469,40649;1884,382315;2293,06579;2863,755909;3629,854961;4097,889999;4247,7851;4662,43975;5168,227136;5558,074866;6027,694721;6783,760241;7701,879452;8762,61287;10046,53672;11345,13478;11432,05127;11964,98249;13517,51762;14387,03048;15274,90524;16560,2617;17380,83289;18863,0778;19988,03035;21002,25155;22526,05196;21417,45168;25153,96018;30958,5151
76;Val;Valle del Cauca;289,2411348;356,3893091;438,1591492;537,8572133;669,6544626;856,1033214;1141,23111;1394,277572;1883,913181;2401,921332;3072,599739;4022,762253;5222,202197;6886,151407;8768,672501;11265,67362;13558,17513;16022,21262;18822,37554;20329,97243;22582,15311;24915,69596;26770,14324;29376,98362;32444,48451;34638,57157;39675,02128;45059,05479;48319,49229;51607,0059;54213,03125;58464,86634;62545,18963;66718,9204;72278,80993;78074,26193;85102,00877;89765,79096;95893,69297;103173,4634;100115,4235;116555,3525;140900,2141
91;Ama;Amazonas;1,263192262;1,527531381;1,986673535;2,380152327;2,487466698;3,007008835;4,584250674;7,97784741;9,725364616;14,5810958;34,35510821;37,51138053;41,01147887;43,58434442;41,86620198;52,84435961;70,13311084;81,8280447;98,73275049;164,270886;194,4423459;154,8004748;161,7569393;192,5138854;221,6906469;280,9190032;819,0130584;850,7124514;1082,514407;932,5774652;1167,155484;1496,93642;1417,858674;1543,60019;1537,431027;1437,386912;1581,284909;1961,317457;2247,636104;2302,18715;1920,419043;2747,660583;3405,564449
81;Ara;Arauca;16,44397087;20,33877608;26,69813663;30,2363823;32,46044059;39,79961692;56,71407326;87,33146825;97,33141532;139,5414293;447,2275642;499,4565599;551,1373896;553,6758657;546,3371081;699,4276985;867,6520261;895,7508111;988,1170242;1572,076238;2573,564397;1915,114615;1770,712109;1926,678296;2121,584698;2375,728454;3441,594983;3719,107697;4806,20168;5033,022613;5009,247281;6111,666798;6363,148958;6240,979358;5466,67809;4071,047487;3652,823943;3724,275067;4143,709639;4510,120421;3706,221633;5012,886735;6830,108732
85;Cas;Casanare;14,51187775;20,414257;31,04156829;44,07654296;59,02591422;85,64664621;140,1242122;243,3820177;296,9814796;431,4867837;394,6803233;501,3101347;640,8001112;807,1110438;993,4568569;1505,130986;2143,719356;2496,346897;3014,981903;4861,137822;5538,172889;4731,699053;4934,755987;5878,757328;6560,315186;7343,048294;5157,45316;5072,820678;5683,448385;5534,670102;5797,77912;7734,867361;9293,101967;10140,2705;9907,280825;8248,702831;6484,932062;6333,853631;7598,085762;8564,902254;7098,146695;8098,221475;11515,34231
94;Gua;Guainía;0,505108538;0,661461375;0,93209698;1,10018343;1,203870063;1,54688538;2,394104772;4,061504674;4,785148892;7,444557267;13,73746419;16,24341708;19,24154872;20,14609442;20,26216763;27,1845451;36,62670898;41,65847866;48,57924924;83,87051531;100,0263181;80,84386776;82,35010415;94,72216638;113,1868783;139,1554133;883,8238363;949,8886202;1098,694625;941,8497746;1138,712875;1428,847702;1288,26184;1427,05924;1433,116684;1261,245304;1371,224907;1625,425583;1739,888818;1754,950532;1455,582004;2047,737308;2542,817251
95;Guv;Guaviare;5,51495386;7,175825505;10,21952281;11,32937865;12,27660454;14,73329543;21,19797261;32,36849508;32,01404536;46,06084286;149,9904981;176,2157717;210,9645779;207,4587981;206,6258036;258,9189472;324,3015856;332,0006671;325,0093829;518,9222793;952,6997367;715,8108177;656,2959184;633,7189916;700,3080008;766,1142159;1017,624004;1047,258225;1393,788888;1177,953237;1385,734146;1724,719285;1560,643198;1729,571588;1721,202521;1568,467716;1692,09506;1995,541764;2237,311784;2198,099679;1815,384801;2640,446478;3199,89576
86;Put;Putumayo;4,359270094;5,62958002;7,801839476;9,975628437;13,09847524;19,82143784;33,50146021;57,7482523;68,8921427;97,51110306;118,5593043;138,2448314;161,0556386;182,6694958;220,4585937;348,3365851;512,5290454;592,3184949;699,3990461;1098,561831;1281,714516;1131,27364;1170,889848;1363,722039;1482,55658;1553,685518;895,8636721;996,3209398;1355,492119;1378,921702;1765,98802;2596,108418;2842,727744;2919,840837;3216,445847;2683,153547;2051,220265;2162,211597;2520,431422;2690,448539;2114,624882;2621,228468;3541,160563
88;San;San Andrés;3,943981371;4,93456968;6,521660939;7,54925798;8,437488404;11,00044757;16,88553375;28,70594834;35,13905323;53,38505773;107,2646744;121,177557;134,6285412;138,2388245;142,0101801;193,318889;258,3268442;294,4342632;356,7347356;601,4370151;711,3224298;570,1888545;582,0349907;695,5786166;811,6651962;991,6298335;1683,916192;1842,435832;2548,329385;2155,647111;2730,658771;3402,661501;3300,171984;3671,870332;3841,843553;3585,104222;3941,777129;4786,296156;5577,58454;5802,967438;4847,889147;6208,366553;8421,25488
97;Vau;Vaupés;0,707453618;0,91952562;1,314548169;1,582598256;1,780347155;2,302333015;3,636466585;6,26929268;7,3925735;11,15113044;19,24065427;22,58066568;27,1365997;28,97987103;29,96477245;40,46057742;55,63323914;64,3035565;75,05005145;125,628835;148,875862;122,7958054;127,1146894;146,336215;169,541532;201,4034126;669,8232306;653,2243376;897,1690272;749,3762422;911,3009771;1098,629764;1075,908272;1163,710939;1215,206995;1147,746992;1198,087556;1416,9823;1570,849578;1602,005522;1310,765818;1934,994841;2306,537925
99;Vic;Vichada;1,323833244;1,586808328;2,033312318;2,277494235;2,330298449;2,981665222;4,974335327;9,210514508;12,21113592;20,58905879;36,00436426;38,96703644;41,97425681;41,70451277;39,22092529;52,39897781;76,1009019;94,47139738;123,9685178;231,9567045;192,8035507;167,9728106;186,7502046;241,7198032;313,0355786;436,1403097;831,0722752;839,3417437;987,2454096;841,4320172;984,8493892;1147,26969;1039,899188;1124,197369;1097,463926;911,4174295;1018,308111;1223,86363;1349,644788;1367,76378;1149,488168;1696,584547;2086,980245
